category,normalized_entity,term_frequency,category_document_frequency,idf,importance_score
science,Science Advances,1,1,1.916290731874155,1.916290731874155
science,Sentinel,1,1,1.916290731874155,1.916290731874155
science,September,1,1,1.916290731874155,1.916290731874155
impact,Syria,1,1,1.916290731874155,1.916290731874155
impact,marine habitat,1,1,1.916290731874155,1.916290731874155
impact,The World Economic Forum's,1,1,1.916290731874155,1.916290731874155
impact,The World Food Programme,1,1,1.916290731874155,1.916290731874155
science,the Mauna Loa Observatory,1,1,1.916290731874155,1.916290731874155
impact,The World Resources Institute,1,1,1.916290731874155,1.916290731874155
impact,Tunisia,1,1,1.916290731874155,1.916290731874155
science,the King Abdullah University of Science and Technology,1,1,1.916290731874155,1.916290731874155
science,the Helmholtz Centre for Environmental Research,1,1,1.916290731874155,1.916290731874155
impact,WHO,1,1,1.916290731874155,1.916290731874155
impact,a decade,1,1,1.916290731874155,1.916290731874155
impact,an estimated $3.5 billion,1,1,1.916290731874155,1.916290731874155
adaptation,12.9-megawatt,1,1,1.916290731874155,1.916290731874155
adaptation,"12,000",1,1,1.916290731874155,1.916290731874155
impact,"approximately 250,000",1,1,1.916290731874155,1.916290731874155
impact,approximately 48 kilometers,1,1,1.916290731874155,1.916290731874155
science,Nature,1,1,1.916290731874155,1.916290731874155
impact,the 2023 summer,1,1,1.916290731874155,1.916290731874155
impact,the African Union's Climate Research Centre,1,1,1.916290731874155,1.916290731874155
impact,approximately 500 million,1,1,1.916290731874155,1.916290731874155
impact,approximately 80 cubic meters,1,1,1.916290731874155,1.916290731874155
impact,approximately one-third,1,1,1.916290731874155,1.916290731874155
impact,at least 52,1,1,1.916290731874155,1.916290731874155
impact,between 2000 and 2022,1,1,1.916290731874155,1.916290731874155
impact,between 2030,1,1,1.916290731874155,1.916290731874155
impact,billion-dollar,1,1,1.916290731874155,1.916290731874155
impact,every 5 seconds,1,1,1.916290731874155,1.916290731874155
impact,hours,1,1,1.916290731874155,1.916290731874155
impact,just 12 hours,1,1,1.916290731874155,1.916290731874155
